dist,ftol,n_converged,median_QLIKE,mean_QLIKE,median_MSE,mean_MSE,sim_steps,rv_floor,rv_ceil,filter_label,n_forecasts
skewt,1e-09,86.0,-12.859603597082499,-12.593189966870243,5.066144293375203e-07,4.543841310357977e-06,,,,,
normal,1e-09,105.0,-12.775638003638996,-12.62121125926355,4.0586845595329315e-07,1.1570604327195201e-06,,,,,
normal,1e-07,105.0,-12.775630214760463,-12.620045884598195,4.200672721244543e-07,1.1648234874341766e-06,,,,,
t,1e-09,100.0,-12.589748432410314,-12.531854708138706,5.416372231800999e-07,1.3423964470461607e-06,,,,,
t,1e-07,100.0,-12.589302340105245,-12.535167327043084,5.303663854139571e-07,1.3209119683392002e-06,,,,,
skewt,1e-07,113.0,-12.582832716253462,-12.540989854054578,5.282833919728778e-07,1.4782626329327434e-06,,,,,
skewt,1e-09,,-12.863779057947628,-12.59772081737576,4.985930085642614e-07,4.446728959588204e-06,4.0,0.0001,0.05,"[1e-04, 0.05]",86.0
skewt,1e-09,,-12.844975404053915,-12.592356434905817,4.815244476077221e-07,4.5055759195550566e-06,4.0,1e-05,0.1,"[1e-05, 0.1]",86.0
skewt,1e-09,,-12.841630504026707,-12.594617746327632,4.946202379998321e-07,4.434419674177411e-06,4.0,0.0001,0.02,"[1e-04, 0.02]",86.0
skewt,1e-09,,-12.576065190521053,-12.30449839662778,7.248967772510004e-07,5.059033539966712e-06,4.0,0.001,0.05,"[1e-03, 0.05]",81.0
skewt,1e-09,,-12.085354451677897,-11.95033623034614,2.1058667276850194e-06,6.597912290368296e-06,8.0,0.0001,0.02,"[1e-04, 0.02]",85.0
skewt,1e-09,,-12.082595323673551,-11.942588913909423,2.1945388170137423e-06,6.807413212948257e-06,8.0,1e-05,0.1,"[1e-05, 0.1]",85.0
skewt,1e-09,,-12.079994790073222,-11.941609696468307,2.1098123178193576e-06,6.804211862318578e-06,8.0,0.0001,0.05,"[1e-04, 0.05]",85.0
skewt,1e-09,,-12.013366204352895,-11.798050620859888,2.3007148911235632e-06,2.9991258284465577e-05,8.0,0.001,0.05,"[1e-03, 0.05]",84.0
skewt,1e-09,,-11.385916376184346,-11.225433028772432,6.3165494380913995e-06,1.8359534971061534e-05,16.0,0.001,0.05,"[1e-03, 0.05]",85.0
skewt,1e-09,,-11.384662948259063,-11.226317214743254,6.3168389724689045e-06,1.821223092849385e-05,16.0,0.0001,0.05,"[1e-04, 0.05]",85.0
skewt,1e-09,,-11.384236461933405,-11.226468626845865,6.341119438110215e-06,1.8339340041017772e-05,16.0,1e-05,0.1,"[1e-05, 0.1]",85.0
skewt,1e-09,,-11.383387457593823,-11.234412767558394,6.348535352268804e-06,1.792944348650914e-05,16.0,0.0001,0.02,"[1e-04, 0.02]",85.0
skewt,1e-09,,-10.757518000535141,-10.634152341533852,1.4546992704434398e-05,3.320099247102353e-05,30.0,0.0001,0.02,"[1e-04, 0.02]",84.0
skewt,1e-09,,-10.75405914627935,-10.5832701299878,1.4604027261839864e-05,4.0666302250863836e-05,30.0,1e-05,0.1,"[1e-05, 0.1]",85.0
skewt,1e-09,,-10.670085690288998,-10.58279755075873,1.4799533529004747e-05,4.072893164204714e-05,30.0,0.0001,0.05,"[1e-04, 0.05]",85.0
skewt,1e-09,,-10.663312938896226,-10.583737290656952,1.4556777622977286e-05,4.0511827005726594e-05,30.0,0.001,0.05,"[1e-03, 0.05]",85.0
